id,alert_type,severity,status,message,delivery_id,vehicle_id,region,created_at,resolved_at
ALT-KGL-000001,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000006 is delayed by 23 minutes.,DLV-KGL-000006,VHL-KGL-002,Istanbul-Kadikoy,2026-05-01T12:05:00Z,
ALT-KGL-000002,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000014 is delayed by 7 minutes.,DLV-KGL-000014,VHL-KGL-001,Istanbul-Sisli,2026-05-01T12:13:00Z,
ALT-KGL-000003,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000016 is delayed by 12 minutes.,DLV-KGL-000016,VHL-KGL-013,Izmir-Konak,2026-05-01T12:15:00Z,
ALT-KGL-000004,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000020 is delayed by 12 minutes.,DLV-KGL-000020,VHL-KGL-015,Ankara-Cankaya,2026-05-01T12:19:00Z,
ALT-KGL-000005,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000027 is delayed by 19 minutes.,DLV-KGL-000027,VHL-KGL-007,Bursa-Nilufer,2026-05-01T12:26:00Z,
ALT-KGL-000006,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000032 is delayed by 12 minutes.,DLV-KGL-000032,VHL-KGL-003,Ankara-Cankaya,2026-05-01T12:31:00Z,
ALT-KGL-000007,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000033 is delayed by 22 minutes.,DLV-KGL-000033,VHL-KGL-011,Ankara-Cankaya,2026-05-01T12:32:00Z,
ALT-KGL-000008,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000035 is delayed by 28 minutes.,DLV-KGL-000035,VHL-KGL-005,Istanbul-Kadikoy,2026-05-01T12:34:00Z,
ALT-KGL-000009,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000037 is delayed by 21 minutes.,DLV-KGL-000037,VHL-KGL-012,Istanbul-Kadikoy,2026-05-01T12:36:00Z,
ALT-KGL-000010,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000042 is delayed by 16 minutes.,DLV-KGL-000042,VHL-KGL-018,Izmir-Konak,2026-05-01T12:41:00Z,
ALT-KGL-000011,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000049 is delayed by 18 minutes.,DLV-KGL-000049,VHL-KGL-016,Bursa-Nilufer,2026-05-01T12:48:00Z,
ALT-KGL-000012,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000052 is delayed by 25 minutes.,DLV-KGL-000052,VHL-KGL-010,Istanbul-Kadikoy,2026-05-01T12:51:00Z,
ALT-KGL-000013,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000063 is delayed by 6 minutes.,DLV-KGL-000063,VHL-KGL-009,Istanbul-Sisli,2026-05-01T13:02:00Z,
ALT-KGL-000014,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000064 is delayed by 14 minutes.,DLV-KGL-000064,VHL-KGL-017,Izmir-Konak,2026-05-01T13:03:00Z,
ALT-KGL-000015,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000067 is delayed by 16 minutes.,DLV-KGL-000067,VHL-KGL-018,Istanbul-Kadikoy,2026-05-01T13:06:00Z,
ALT-KGL-000016,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000069 is delayed by 26 minutes.,DLV-KGL-000069,VHL-KGL-012,Izmir-Konak,2026-05-01T13:08:00Z,
ALT-KGL-000017,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000073 is delayed by 10 minutes.,DLV-KGL-000073,VHL-KGL-008,Izmir-Konak,2026-05-01T13:12:00Z,
ALT-KGL-000018,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000074 is delayed by 29 minutes.,DLV-KGL-000074,VHL-KGL-001,Istanbul-Kadikoy,2026-05-01T13:13:00Z,
ALT-KGL-000019,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000077 is delayed by 27 minutes.,DLV-KGL-000077,VHL-KGL-003,Izmir-Konak,2026-05-01T13:16:00Z,
ALT-KGL-000020,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000080 is delayed by 5 minutes.,DLV-KGL-000080,VHL-KGL-017,Izmir-Konak,2026-05-01T13:19:00Z,
ALT-KGL-000021,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000081 is delayed by 16 minutes.,DLV-KGL-000081,VHL-KGL-005,Istanbul-Kadikoy,2026-05-01T13:20:00Z,
ALT-KGL-000022,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000083 is delayed by 23 minutes.,DLV-KGL-000083,VHL-KGL-015,Ankara-Cankaya,2026-05-01T13:22:00Z,
ALT-KGL-000023,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000090 is delayed by 9 minutes.,DLV-KGL-000090,VHL-KGL-012,Izmir-Konak,2026-05-01T13:29:00Z,
ALT-KGL-000024,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000098 is delayed by 29 minutes.,DLV-KGL-000098,VHL-KGL-019,Izmir-Konak,2026-05-01T13:37:00Z,
ALT-KGL-000025,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000100 is delayed by 28 minutes.,DLV-KGL-000100,VHL-KGL-015,Istanbul-Sisli,2026-05-01T13:39:00Z,
ALT-KGL-000026,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000110 is delayed by 28 minutes.,DLV-KGL-000110,VHL-KGL-013,Istanbul-Kadikoy,2026-05-01T13:49:00Z,
ALT-KGL-000027,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000112 is delayed by 17 minutes.,DLV-KGL-000112,VHL-KGL-016,Izmir-Konak,2026-05-01T13:51:00Z,
ALT-KGL-000028,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000115 is delayed by 20 minutes.,DLV-KGL-000115,VHL-KGL-012,Istanbul-Sisli,2026-05-01T13:54:00Z,
ALT-KGL-000029,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000123 is delayed by 26 minutes.,DLV-KGL-000123,VHL-KGL-006,Istanbul-Sisli,2026-05-01T14:02:00Z,
ALT-KGL-000030,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000132 is delayed by 7 minutes.,DLV-KGL-000132,VHL-KGL-011,Ankara-Cankaya,2026-05-01T14:11:00Z,
