id,tracking_number,vehicle_id,driver_id,warehouse_id,region,status,priority,estimated_delivery_time,actual_delivery_time,delay_minutes,last_updated_at
DLV-KGL-000001,KGL-000001,VHL-KGL-015,DRV-005,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:00:00Z,2026-05-01T12:00:00Z,0,2026-05-01T12:00:00Z
DLV-KGL-000002,KGL-000002,VHL-KGL-006,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,HIGH,2026-05-01T12:01:00Z,2026-05-01T12:01:00Z,0,2026-05-01T12:01:00Z
DLV-KGL-000003,KGL-000003,VHL-KGL-014,DRV-004,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:02:00Z,2026-05-01T12:02:00Z,0,2026-05-01T12:02:00Z
DLV-KGL-000004,KGL-000004,VHL-KGL-011,DRV-001,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:03:00Z,2026-05-01T12:03:00Z,0,2026-05-01T12:03:00Z
DLV-KGL-000005,KGL-000005,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:04:00Z,2026-05-01T12:04:00Z,0,2026-05-01T12:04:00Z
DLV-KGL-000006,KGL-000006,VHL-KGL-002,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T12:05:00Z,2026-05-01T12:05:00Z,23,2026-05-01T12:05:00Z
DLV-KGL-000007,KGL-000007,VHL-KGL-008,DRV-003,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:06:00Z,2026-05-01T12:06:00Z,0,2026-05-01T12:06:00Z
DLV-KGL-000008,KGL-000008,VHL-KGL-018,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,HIGH,2026-05-01T12:07:00Z,2026-05-01T12:07:00Z,0,2026-05-01T12:07:00Z
DLV-KGL-000009,KGL-000009,VHL-KGL-004,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:08:00Z,2026-05-01T12:08:00Z,0,2026-05-01T12:08:00Z
DLV-KGL-000010,KGL-000010,VHL-KGL-016,DRV-001,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:09:00Z,2026-05-01T12:09:00Z,0,2026-05-01T12:09:00Z
DLV-KGL-000011,KGL-000011,VHL-KGL-009,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:10:00Z,2026-05-01T12:10:00Z,0,2026-05-01T12:10:00Z
